Stage,SegmentType,x_start,y_start,x_end,y_end
1,horizontal,0.950000,0.950000,0.880370,0.950000
1,vertical,0.880370,0.950000,0.880370,0.909695
2,horizontal,0.880370,0.909695,0.797484,0.909695
2,vertical,0.797484,0.909695,0.797484,0.861718
3,horizontal,0.797484,0.861718,0.711241,0.861718
3,vertical,0.711241,0.861718,0.711241,0.811797
4,horizontal,0.711241,0.811797,0.631822,0.811797
4,vertical,0.631822,0.811797,0.631822,0.765826
5,horizontal,0.631822,0.765826,0.566586,0.765826
5,vertical,0.566586,0.765826,0.566586,0.728065
6,horizontal,0.566586,0.728065,0.518137,0.728065
6,vertical,0.518137,0.728065,0.518137,0.689721
7,horizontal,0.518137,0.689721,0.473189,0.689721
7,vertical,0.473189,0.689721,0.473189,0.628298
8,horizontal,0.473189,0.628298,0.408237,0.628298
8,vertical,0.408237,0.628298,0.408237,0.539540
9,horizontal,0.408237,0.539540,0.325725,0.539540
9,vertical,0.325725,0.539540,0.325725,0.426785
10,horizontal,0.325725,0.426785,0.236642,0.426785
10,vertical,0.236642,0.426785,0.236642,0.305051
11,horizontal,0.236642,0.305051,0.156137,0.305051
11,vertical,0.156137,0.305051,0.156137,0.195039
12,horizontal,0.156137,0.195039,0.093573,0.195039
12,vertical,0.093573,0.195039,0.093573,0.109544
13,horizontal,0.093573,0.109544,0.050041,0.109544
13,vertical,0.050041,0.109544,0.050041,0.050056
14,horizontal,0.050041,0.050056,0.022118,0.050056
14,vertical,0.022118,0.050056,0.022118,0.011898
